id,app,category,status,one_liner,instance_model,auth_methods,access_tier,surface_types,breadth,write_access,mcp_product,mcp_scope,mcp_docs,buildability,primary_blocker,evidence_url
1,Salesforce,CRM and Sales,ok,"Marketing Cloud lets you personalise every customer interaction, automate marketing with AI agents, and unify your marketing, sales, and service experiences — all on the Salesforce platform.",per_tenant,not_found,not_found,not_found,not_found,not_found,none,,,insufficient_evidence,unknown,https://www.salesforce.com/in/marketing/pricing/
2,HubSpot,CRM and Sales,ok,HubSpot’s Smart CRM is the single source of truth that connects all your business data.,per_tenant,"oauth2_authcode, api_key",self_serve_free,"rest, webhook",broad,read_write,present,unverified,,easy_win,none,https://hubspot.com
3,Pipedrive,CRM and Sales,ok,Pipedrive is a Web-based Sales CRM.,per_tenant,oauth2_authcode,self_serve_paid,"rest, webhook",broad,read_write,full,,,easy_win,none,https://developers.pipedrive.com
4,Attio,CRM and Sales,ok,"Attio is the CRM that builds pipeline, advances deals, and grows accounts around the clock.",per_tenant,oauth2_authcode,self_serve_paid,"rest, webhook, library",broad,read_write,present,unverified,,easy_win,none,https://attio.com
5,Twenty,CRM and Sales,ok,Twenty gives technical teams the building blocks for a custom CRM that meets complex business needs and quickly adapts as the business evolves.,per_tenant,oauth2_authcode,self_serve_paid,"rest, graphql, webhook",broad,read_write,unverified,,true,easy_win,none,https://twenty.com
6,Podio,CRM and Sales,ok,Podio supports building digital workspaces tailored to your team's unique processes.,not_found,not_found,self_serve_free,rest,not_found,read_write,none,,,insufficient_evidence,unknown,https://podio.com
7,Zoho CRM,CRM and Sales,ok,"Zoho CRM is a CRM platform that helps businesses manage their sales pipeline, leads, deals, and workflows.",per_tenant,not_found,self_serve_free,not_found,not_found,not_found,present,unverified,,insufficient_evidence,unknown,https://www.zoho.com/crm/zohocrm-pricing.html?source_from=crm_home
8,Close,CRM and Sales,ok,"The sales CRM built for calling, emailing, texting, automation and action.",per_tenant,"api_key, oauth2_authcode",self_serve_paid,"rest, webhook",broad,read_write,present,unverified,,easy_win,none,https://close.com
9,Copper,CRM and Sales,ok,"Copper is the only CRM built specifically for Google Workspace, making it the most seamless and powerful option for sending an email series directly from Gmail.",global,not_found,not_found,rest,moderate,not_found,none,,,insufficient_evidence,unknown,https://www.copper.com/marketing-tools
10,DealCloud,CRM and Sales,ok,DealCloud is a CRM and sales platform that provides developer documentation for API integration and SDKs.,per_tenant,"oauth2_client_credentials, api_key, oauth2_authcode",customer_admin_gated,"rest, library",moderate,read_write,present,unverified,,buildable_with_caveats,admin_enablement,https://api.docs.dealcloud.com
11,Zendesk,Support and Helpdesk,ok,Zendesk is a unified system that brings AI and human teamwork together to deliver high-quality resolutions across every channel and service model.,per_tenant,not_found,self_serve_paid,"rest, webhook",broad,read_write,none,,,insufficient_evidence,unknown,https://zendesk.com
12,Intercom,Support and Helpdesk,ok,"Intercom is the only helpdesk with a natively integrated AI Agent, Fin, meaning every customer conversation improves the next one, enabling perfect experiences that were never possible before.",per_tenant,not_found,self_serve_paid,"rest, webhook",broad,read_write,none,,,insufficient_evidence,unknown,https://intercom.com
13,Freshdesk,Support and Helpdesk,ok,not_found,not_found,not_found,not_found,not_found,not_found,not_found,none,,,insufficient_evidence,unknown,
14,Front,Support and Helpdesk,ok,"Only Front brings teams, conversations, and AI into one coordinated system, so customer operations stay fast, accurate, and in control.",per_tenant,not_found,self_serve_paid,rest,broad,read_write,none,,,insufficient_evidence,unknown,https://front.com
15,Pylon,Support and Helpdesk,ok,Pylon is the first agentic support platform built for B2B.,per_tenant,oauth2_authcode,customer_admin_gated,rest,moderate,read_write,full,,,easy_win,none,https://docs.usepylon.com/pylon-docs/
16,LiveAgent,Support and Helpdesk,ok,"LiveAgent combines an all-in-one customer service platform with AI chatbot, live chat, ticketing, and call center.",per_tenant,not_found,self_serve_paid,rest,not_found,not_found,none,,,insufficient_evidence,unknown,https://liveagent.com
17,Plain,Support and Helpdesk,ok,Plain is AI support infrastructure that enables B2B teams to build anything – no-code or all-code.,global,token,self_serve_paid,"graphql, webhook",broad,read_write,unverified,,true,easy_win,none,https://www.plain.com
18,Help Scout,Support and Helpdesk,ok,"Bring customer insights, team collaboration, and thoughtful AI together so every interaction is connected to the last.",per_tenant,not_found,self_serve_paid,"rest, webhook",broad,read_write,none,,,insufficient_evidence,unknown,https://helpscout.com
19,Gorgias,Support and Helpdesk,ok,The Conversational AI platform for ecommerce.,per_tenant,not_found,self_serve_paid,rest,broad,read_write,none,,,insufficient_evidence,unknown,https://www.gorgias.com/author/gorgias-people-team
20,Gladly,Support and Helpdesk,ok,Gladly is the only customer experience AI purpose-built to engage customers rather than deflect them.,per_tenant,not_found,contact_sales,"rest, webhook",broad,read_write,none,,,insufficient_evidence,unknown,https://gladly.com
21,Slack,Communications and Messaging,ok,Slack connects your team.,global,"oauth2_authcode, token",self_serve_free,"rest, cli, webhook",broad,read_write,not_found,,,easy_win,none,https://slack.com/intl/en-in/#
22,Twilio,Communications and Messaging,ok,Twilio provides verification and fraud prevention infrastructure that easily drops into your application to deliver a low-friction customer experience with high conversion.,global,api_key,not_found,"rest, library, webhook",broad,read_write,read_only,,,insufficient_evidence,unknown,https://www.twilio.com/en-us/user-authentication-identity
23,Zoho Cliq,Communications and Messaging,ok,"Zoho Cliq streamlines your business communication and fuels effortless conversations within teams and external stakeholders through organization, automation, and AI.",per_tenant,oauth2_authcode,self_serve_free,webhook,moderate,read_write,present,unverified,,easy_win,none,https://zoho.com/cliq
24,Lark (Larksuite),Communications and Messaging,ok,"Lark is an open platform that allows you to extend Lark with custom bots, web apps, blocks, and powerful open APIs to reshape workplace experiences.",per_tenant,"oauth2_authcode, token",customer_admin_gated,"rest, cli, webhook",broad,read_write,none,,,buildable_with_caveats,admin_enablement,https://open.larksuite.com
25,Pumble,Communications and Messaging,ok,"Pumble is a team communication hub that allows you to start channels, share documents, organize video calls, and invite partners to collaborate.",per_tenant,api_key,self_serve_free,"rest, webhook",moderate,read_write,present,unverified,,easy_win,none,https://pumble.com
26,Discord,Communications and Messaging,ok,"Discord is where the social layer of games lives today and our developer platform lets you tap into that time to drive more players, more playtime and more revenue for your game.",global,oauth2_authcode,self_serve_free,"rest, library",broad,read_write,unverified,,true,easy_win,none,https://discord.com/developers
